OBJECTID,Report_Date,Confirmed_New,Confirmed_Total,Recovered_New,Recovered_Total,Deaths_New,Deaths_Total,Active_Total,Tested,Tested_Total,Positive_Test_Rate
1,3/15/2020 0:00,0,1,0,0,0,0,1,,,
2,3/16/2020 0:00,0,1,0,0,0,0,1,,,
3,3/17/2020 0:00,2,3,0,0,0,0,3,,,
4,3/18/2020 0:00,0,3,0,0,0,0,3,,,
5,3/19/2020 0:00,4,7,0,0,0,0,7,,,
6,3/20/2020 0:00,0,7,0,0,0,0,7,,,
7,3/21/2020 0:00,0,7,0,0,0,0,7,,,
8,3/22/2020 0:00,0,7,0,0,0,0,7,,,
9,3/23/2020 0:00,8,15,0,0,0,0,15,,,
10,3/24/2020 0:00,1,16,0,0,0,0,16,,,
11,3/25/2020 0:00,9,25,0,0,0,0,25,,,
12,3/26/2020 0:00,3,28,1,1,0,0,27,74,,0.040540541
13,3/27/2020 0:00,3,31,0,1,1,1,29,,,
14,3/28/2020 0:00,7,38,0,1,0,1,36,81,,0.086419753
15,3/29/2020 0:00,4,42,0,1,0,1,40,69,,0.057971014
16,3/30/2020 0:00,8,50,0,1,0,1,48,172,,0.046511628
17,3/31/2020 0:00,9,59,0,1,0,1,57,234,,0.038461538
18,4/1/2020 0:00,22,81,2,3,0,1,77,380,,0.057894737
19,4/2/2020 0:00,29,110,1,4,2,3,103,662,,0.043806647
20,4/3/2020 0:00,12,122,0,4,1,4,114,362,,0.033149171
21,4/4/2020 0:00,4,126,0,4,0,4,118,372,,0.010752688
22,4/5/2020 0:00,16,142,0,4,0,4,134,530,,0.030188679
23,4/6/2020 0:00,16,158,0,4,2,6,148,,,
24,4/7/2020 0:00,14,172,3,7,0,6,159,696,,0.020114943
25,4/8/2020 0:00,7,179,2,9,0,6,164,,,
26,4/9/2020 0:00,5,184,3,12,1,7,165,308,,0.016233766
27,4/10/2020 0:00,5,189,10,22,0,7,160,504,,0.009920635
28,4/11/2020 0:00,2,191,2,24,0,7,160,491,,0.00407332
29,4/12/2020 0:00,6,197,1,25,1,8,164,766,,0.007832898
30,4/13/2020 0:00,11,208,15,40,1,9,159,674,,0.016320475
31,4/14/2020 0:00,8,216,1,41,0,9,166,694,,0.011527378
32,4/15/2020 0:00,9,225,12,53,1,10,162,803,,0.01120797
33,4/16/2020 0:00,9,234,0,53,1,11,170,,,
34,4/17/2020 0:00,12,246,0,53,0,11,182,,,
